Date,Total_Amount
04-08-2023,182716.65
05-08-2023,149398.5
06-08-2023,141852.36
07-08-2023,147608.24
08-08-2023,141867.14
09-08-2023,169739.48
10-08-2023,151664.73
11-08-2023,192804.07
12-08-2023,137578.92
13-08-2023,132918.15
14-08-2023,130475.9
15-08-2023,155482.09
16-08-2023,124615.3
17-08-2023,141137.6
18-08-2023,120402.91
19-08-2023,170692.42
20-08-2023,139845.97
21-08-2023,183873.95
22-08-2023,141998.46
23-08-2023,161548.34
24-08-2023,182270.68
25-08-2023,158187.98
26-08-2023,134763.84
27-08-2023,210166.3
28-08-2023,192239.1
29-08-2023,148860.51
30-08-2023,121440.49
31-08-2023,178725.05
01-09-2023,163362.95
02-09-2023,158467.08
03-09-2023,114707.59
04-09-2023,158902.58
05-09-2023,145499.32
06-09-2023,128318.44
07-09-2023,146810.03
08-09-2023,156589.86
09-09-2023,182445.82
10-09-2023,186694.14
11-09-2023,161169.92
12-09-2023,151605.91
13-09-2023,176016.15
14-09-2023,158842.15
15-09-2023,126698.13
16-09-2023,185113.64
17-09-2023,180313.64
18-09-2023,139582.4
19-09-2023,177624.06
20-09-2023,109716.25
21-09-2023,145393.94
22-09-2023,192098.8
23-09-2023,152249.45
24-09-2023,103913.68
25-09-2023,147359.45
26-09-2023,221797.76
27-09-2023,204322.41
28-09-2023,155589.06
29-09-2023,132484.54
30-09-2023,199476.59
01-10-2023,170317.1
02-10-2023,145559.06
03-10-2023,173286.47
04-10-2023,165112.88
05-10-2023,146414.45
06-10-2023,159216.26
07-10-2023,152934.86
08-10-2023,150121.98
09-10-2023,126834.96
10-10-2023,183181.72
11-10-2023,134591.68
12-10-2023,205812.77
13-10-2023,131032.4
14-10-2023,161090.63
15-10-2023,180160.2
16-10-2023,136819.24
17-10-2023,205411.9
18-10-2023,181790.44
19-10-2023,177084.63
20-10-2023,147525.03
21-10-2023,141372.04
22-10-2023,163690.77
23-10-2023,176772.69
24-10-2023,142521.28
25-10-2023,188694
26-10-2023,136830.06
27-10-2023,148415.3
28-10-2023,168070.65
29-10-2023,159923.51
30-10-2023,137624
31-10-2023,137721.18
01-11-2023,156265.18
02-11-2023,182218.69
03-11-2023,150896.56
04-11-2023,168026.24
05-11-2023,176505.6
06-11-2023,143543.58
07-11-2023,167684.87
08-11-2023,131491.47
09-11-2023,159160.98
10-11-2023,150277.43
11-11-2023,164272.13
12-11-2023,150982.5
13-11-2023,153917.33
14-11-2023,126238.24
15-11-2023,170114.89
16-11-2023,141034.8
17-11-2023,170031.29
18-11-2023,152498.53
19-11-2023,107358.16
20-11-2023,158519.58
21-11-2023,155575.01
22-11-2023,135063.3
23-11-2023,188744.75
24-11-2023,141860.41
25-11-2023,181422.96
26-11-2023,128250.97
27-11-2023,106057.49
28-11-2023,114177.45
29-11-2023,158071
30-11-2023,190497.09
01-12-2023,140091.63
02-12-2023,186982.24
03-12-2023,108429.31
04-12-2023,187051.01
05-12-2023,150808.01
06-12-2023,154219.94
07-12-2023,188698.18
08-12-2023,168587.22
09-12-2023,139117.08
10-12-2023,204560.51
11-12-2023,218505.42
12-12-2023,154645.75
13-12-2023,131139.35
14-12-2023,188965.2
15-12-2023,142804.52
16-12-2023,162512.71
17-12-2023,157875.32
18-12-2023,189795.3
19-12-2023,152635.28
20-12-2023,166229.96
21-12-2023,161780.1
22-12-2023,156681.83
23-12-2023,121588.05
24-12-2023,116229.78
25-12-2023,110530.92
26-12-2023,158779.48
27-12-2023,133262.82
28-12-2023,166990.06
29-12-2023,188648.75
30-12-2023,166620.02
31-12-2023,198533.04
01-01-2024,191425.81
02-01-2024,157908.28
03-01-2024,154358.48
04-01-2024,179859.4
05-01-2024,108160.13
06-01-2024,155119.58
07-01-2024,128459.94
08-01-2024,153754.32
09-01-2024,168130.78
10-01-2024,205528.18
11-01-2024,108401.88
12-01-2024,152993.73
13-01-2024,171601.34
14-01-2024,157799.74
15-01-2024,150632.13
16-01-2024,132705.71
17-01-2024,134368.2
18-01-2024,140903.18
19-01-2024,184707.33
20-01-2024,225832.02
21-01-2024,190710.6
22-01-2024,191672.63
23-01-2024,140943.23
24-01-2024,153476.76
25-01-2024,172825.44
26-01-2024,131545.62
27-01-2024,159705.54
28-01-2024,146411.18
29-01-2024,177844.12
30-01-2024,171448.1
31-01-2024,179848.19
01-02-2024,156412.84
02-02-2024,171833.77
03-02-2024,215755.39
04-02-2024,139361.23
05-02-2024,178812.93
06-02-2024,124027.88
07-02-2024,167159.58
08-02-2024,148635.4
09-02-2024,150418.7
10-02-2024,142644.88
11-02-2024,179950.09
12-02-2024,190376.35
13-02-2024,147241.09
14-02-2024,128024.03
15-02-2024,130091.7
16-02-2024,126099.91
17-02-2024,154901.14
18-02-2024,165336.69
19-02-2024,106876
20-02-2024,145981.56
21-02-2024,157714.84
22-02-2024,139628.9
23-02-2024,137739.56
24-02-2024,150634.09
25-02-2024,158054.1
26-02-2024,156611.01
27-02-2024,159864.21
28-02-2024,180705.04
29-02-2024,118664.97
01-03-2024,160424.46
02-03-2024,199575.15
03-03-2024,130319.09
04-03-2024,168123.31
05-03-2024,134692.15
06-03-2024,139230.05
07-03-2024,226937.13
08-03-2024,144450.29
09-03-2024,112030.59
10-03-2024,114648.88
11-03-2024,126992.78
12-03-2024,147336
13-03-2024,146538.95
14-03-2024,176303.76
15-03-2024,143602.26
16-03-2024,148861.94
17-03-2024,178835.45
18-03-2024,137035.16
19-03-2024,135636.47
20-03-2024,143934.32
21-03-2024,122002.52
22-03-2024,143608.39
23-03-2024,189493.32
24-03-2024,145779.04
25-03-2024,137759.37
26-03-2024,160715.44
27-03-2024,205354.19
28-03-2024,170789.34
29-03-2024,209997.38
30-03-2024,186175.95
31-03-2024,133764.32
01-04-2024,167284.59
02-04-2024,147783.65
03-04-2024,192303.81
04-04-2024,162925.61
05-04-2024,128422.48
06-04-2024,159860.34
07-04-2024,183715.08
08-04-2024,184192.95
09-04-2024,135606.23
10-04-2024,209518.06
11-04-2024,192356.46
12-04-2024,134277.86
13-04-2024,115078.55
14-04-2024,113478.32
15-04-2024,152111.37
16-04-2024,149073.38
17-04-2024,167423.65
18-04-2024,174740.28
19-04-2024,230073.12
20-04-2024,178716.77
21-04-2024,196955.46
22-04-2024,148362.29
23-04-2024,155501.4
24-04-2024,176882.41
25-04-2024,112196.76
26-04-2024,161542.71
27-04-2024,156242.91
28-04-2024,129284.31
29-04-2024,149808.85
30-04-2024,142278.2
01-05-2024,151470.23
02-05-2024,169785.86
03-05-2024,112936.39
04-05-2024,142180.4
05-05-2024,170092.68
06-05-2024,201456.88
07-05-2024,156183.9
08-05-2024,121052.42
09-05-2024,151447.08
10-05-2024,137093.54
11-05-2024,145953.58
12-05-2024,122724.78
13-05-2024,121858.01
14-05-2024,161291.56
