Date,Total_Amount
2023-07-25,117971.34
2023-07-26,210353.06
2023-07-27,165155.09
2023-07-28,142624.0
2023-07-29,141990.87
2023-07-30,186400.63
2023-07-31,109448.85
2023-08-01,163488.80000000002
2023-08-02,170972.35
2023-08-03,163167.0
2023-08-04,182716.65
2023-08-05,149398.5
2023-08-06,141852.36000000002
2023-08-07,147608.24
2023-08-08,141867.14
2023-08-09,169739.47999999998
2023-08-10,151664.73
2023-08-11,192804.07
2023-08-12,137578.91999999998
2023-08-13,132918.15
2023-08-14,130475.9
2023-08-15,155482.09
2023-08-16,124615.3
2023-08-17,141137.6
2023-08-18,120402.91
2023-08-19,170692.42
2023-08-20,139845.97
2023-08-21,183873.95
2023-08-22,141998.46
2023-08-23,161548.34
2023-08-24,182270.68
2023-08-25,158187.98
2023-08-26,134763.84
2023-08-27,210166.3
2023-08-28,192239.1
2023-08-29,148860.51
2023-08-30,121440.49
2023-08-31,178725.05
2023-09-01,163362.95
2023-09-02,158467.08
2023-09-03,114707.59
2023-09-04,158902.58
2023-09-05,145499.32
2023-09-06,128318.44
2023-09-07,146810.03
2023-09-08,156589.86
2023-09-09,182445.82
2023-09-10,186694.14
2023-09-11,161169.91999999998
2023-09-12,151605.91
2023-09-13,176016.15
2023-09-14,158842.15
2023-09-15,126698.13
2023-09-16,185113.63999999998
2023-09-17,180313.64
2023-09-18,139582.4
2023-09-19,177624.06
2023-09-20,109716.25
2023-09-21,145393.94
2023-09-22,192098.8
2023-09-23,152249.45
2023-09-24,103913.68000000001
2023-09-25,147359.45
2023-09-26,221797.76
2023-09-27,204322.41
2023-09-28,155589.06
2023-09-29,132484.54
2023-09-30,199476.59
2023-10-01,170317.09999999998
2023-10-02,145559.06
2023-10-03,173286.47
2023-10-04,165112.88
2023-10-05,146414.45
2023-10-06,159216.26
2023-10-07,152934.86
2023-10-08,150121.98
2023-10-09,126834.95999999999
2023-10-10,183181.72
2023-10-11,134591.68
2023-10-12,205812.77000000002
2023-10-13,131032.4
2023-10-14,161090.63
2023-10-15,180160.2
2023-10-16,136819.24
2023-10-17,205411.9
2023-10-18,181790.44
2023-10-19,177084.63
2023-10-20,147525.03
2023-10-21,141372.04
2023-10-22,163690.77000000002
2023-10-23,176772.69
2023-10-24,142521.28
2023-10-25,188694.0
2023-10-26,136830.06
2023-10-27,148415.3
2023-10-28,168070.65
2023-10-29,159923.51
2023-10-30,137624.0
2023-10-31,137721.18
2023-11-01,156265.18
2023-11-02,182218.69
2023-11-03,150896.56
2023-11-04,168026.24
2023-11-05,176505.6
2023-11-06,143543.58
2023-11-07,167684.87
2023-11-08,131491.47
2023-11-09,159160.98
2023-11-10,150277.43
2023-11-11,164272.13
2023-11-12,150982.5
2023-11-13,153917.33
2023-11-14,126238.24
2023-11-15,170114.89
2023-11-16,141034.8
2023-11-17,170031.29
2023-11-18,152498.53
2023-11-19,107358.16
2023-11-20,158519.58000000002
2023-11-21,155575.01
2023-11-22,135063.3
2023-11-23,188744.75
2023-11-24,141860.41
2023-11-25,181422.96
2023-11-26,128250.97
2023-11-27,106057.49
2023-11-28,114177.45
2023-11-29,158071.0
2023-11-30,190497.09
2023-12-01,140091.63
2023-12-02,186982.24
2023-12-03,108429.31
2023-12-04,187051.01
2023-12-05,150808.01
2023-12-06,154219.94
2023-12-07,188698.18
2023-12-08,168587.22
2023-12-09,139117.08
2023-12-10,204560.51
2023-12-11,218505.41999999998
2023-12-12,154645.75
2023-12-13,131139.35
2023-12-14,188965.2
2023-12-15,142804.52
2023-12-16,162512.71
2023-12-17,157875.32
2023-12-18,189795.3
2023-12-19,152635.28
2023-12-20,166229.96
2023-12-21,161780.1
2023-12-22,156681.83
2023-12-23,121588.05
2023-12-24,116229.78
2023-12-25,110530.92
2023-12-26,158779.48
2023-12-27,133262.82
2023-12-28,166990.06
2023-12-29,188648.75
2023-12-30,166620.02
2023-12-31,198533.04
2024-01-01,191425.81
2024-01-02,157908.28
2024-01-03,154358.48
2024-01-04,179859.4
2024-01-05,108160.13
2024-01-06,155119.58000000002
2024-01-07,128459.94
2024-01-08,153754.32
2024-01-09,168130.78
2024-01-10,205528.18
2024-01-11,108401.88
2024-01-12,152993.72999999998
2024-01-13,171601.34
2024-01-14,157799.74
2024-01-15,150632.13
2024-01-16,132705.71
2024-01-17,134368.2
2024-01-18,140903.18
2024-01-19,184707.33000000002
2024-01-20,225832.02
2024-01-21,190710.6
2024-01-22,191672.63
2024-01-23,140943.23
2024-01-24,153476.76
2024-01-25,172825.44
2024-01-26,131545.62
2024-01-27,159705.54
2024-01-28,146411.18
2024-01-29,177844.12
2024-01-30,171448.1
2024-01-31,179848.19
2024-02-01,156412.84
2024-02-02,171833.77
2024-02-03,215755.38999999998
2024-02-04,139361.23
2024-02-05,178812.93
2024-02-06,124027.88
2024-02-07,167159.58
2024-02-08,148635.4
2024-02-09,150418.7
2024-02-10,142644.88
2024-02-11,179950.09
2024-02-12,190376.35
2024-02-13,147241.09
2024-02-14,128024.03
2024-02-15,130091.7
2024-02-16,126099.91
2024-02-17,154901.14
2024-02-18,165336.69
2024-02-19,106876.0
2024-02-20,145981.56
2024-02-21,157714.84
2024-02-22,139628.9
2024-02-23,137739.56
2024-02-24,150634.09
2024-02-25,158054.1
2024-02-26,156611.01
2024-02-27,159864.21
2024-02-28,180705.04
2024-02-29,118664.97
2024-03-01,160424.46
2024-03-02,199575.15
2024-03-03,130319.09
2024-03-04,168123.31
2024-03-05,134692.15
2024-03-06,139230.05
2024-03-07,226937.13
2024-03-08,144450.29
2024-03-09,112030.59
2024-03-10,114648.88
2024-03-11,126992.78
2024-03-12,147336.0
2024-03-13,146538.95
2024-03-14,176303.76
2024-03-15,143602.26
2024-03-16,148861.94
2024-03-17,178835.45
2024-03-18,137035.16
2024-03-19,135636.47
2024-03-20,143934.32
2024-03-21,122002.52
2024-03-22,143608.39
2024-03-23,189493.32
2024-03-24,145779.04
2024-03-25,137759.37
2024-03-26,160715.44
2024-03-27,205354.19
2024-03-28,170789.34
2024-03-29,209997.38
2024-03-30,186175.95
2024-03-31,133764.32
2024-04-01,167284.59
2024-04-02,147783.65
2024-04-03,192303.81
2024-04-04,162925.61000000002
2024-04-05,128422.48000000001
2024-04-06,159860.34
2024-04-07,183715.08000000002
2024-04-08,184192.95
2024-04-09,135606.23
2024-04-10,209518.06
2024-04-11,192356.46
2024-04-12,134277.86
2024-04-13,115078.55
2024-04-14,113478.31999999999
2024-04-15,152111.37
2024-04-16,149073.38
2024-04-17,167423.65
2024-04-18,174740.28
2024-04-19,230073.12
2024-04-20,178716.77
2024-04-21,196955.46
2024-04-22,148362.29
2024-04-23,155501.4
2024-04-24,176882.41
2024-04-25,112196.76
2024-04-26,161542.71
2024-04-27,156242.91
2024-04-28,129284.31
2024-04-29,149808.85
2024-04-30,142278.2
2024-05-01,151470.23
2024-05-02,169785.86
2024-05-03,112936.39
2024-05-04,142180.4
2024-05-05,170092.68
2024-05-06,201456.88
2024-05-07,156183.9
2024-05-08,121052.42
2024-05-09,151447.08
2024-05-10,137093.54
2024-05-11,145953.58000000002
2024-05-12,122724.78
2024-05-13,121858.01
2024-05-14,161291.56
